# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
114 2.0949209e+00 1.6613133e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.7885330e+00 2.0514047e+02 2.5722923e+01
115 2.1704524e+00 1.6245734e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.6673315e+00 1.9409563e+02 2.5944545e+01
116 2.1141474e+00 1.5205075e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.6569946e+00 1.8231516e+02 2.6168808e+01
117 2.1762247e+00 1.5454161e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.3391364e+00 1.9866953e+02 2.6389095e+01
118 2.1779971e+00 1.7797450e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.4922037e+00 2.4078462e+02 2.6609817e+01
119 2.4655726e+00 2.2702805e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.3827257e+00 3.0957104e+02 2.6833927e+01
120 2.4696629e+00 2.8211798e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.4355493e+00 3.4492975e+02 2.7058349e+01
121 2.3701031e+00 3.0179947e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.4918146e+00 3.4484424e+02 2.7280727e+01
122 2.2076206e+00 2.9886942e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.2010167e+00 3.5054913e+02 2.7504697e+01
123 2.1740589e+00 3.0124966e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.5737588e+00 3.5745465e+02 2.7728318e+01
124 2.0716355e+00 2.9161288e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.5293126e+00 3.5986932e+02 2.7952097e+01
125 2.0374584e+00 2.9423676e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.7232032e+00 3.9173706e+02 2.8176631e+01
126 2.2316763e+00 3.1654971e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.5840318e+00 3.9717050e+02 2.8406442e+01
127 2.0967252e+00 3.0115723e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.3630722e+00 3.7569937e+02 2.8641104e+01
128 2.0454893e+00 2.8710593e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.3285127e+00 3.6964771e+02 2.8864177e+01
129 2.0050340e+00 2.9601974e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.3427927e+00 3.8817804e+02 2.9107424e+01
130 2.1446965e+00 3.0580737e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.2314274e+00 3.7203036e+02 2.9332152e+01
131 2.0236709e+00 2.8984937e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.2164786e+00 3.6236319e+02 2.9555299e+01
132 1.9828552e+00 2.9644757e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1846685e+00 3.7662137e+02 2.9879047e+01
