# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
99 5.4864073e+00 1.6474867e+02 1.1259179e+01 9.7984895e-02 2.4882225e+01 5.2340922e+00 1.5688690e+02 4.4555430e+01
100 5.3995662e+00 1.7570732e+02 1.0987556e+01 9.2791378e-02 2.4977098e+01 5.1937408e+00 1.6038733e+02 4.4971815e+01
101 5.3803730e+00 1.7923071e+02 1.0437260e+01 1.0206259e-01 2.4821379e+01 5.1425748e+00 1.6657707e+02 4.5381469e+01
102 5.3346591e+00 1.8903517e+02 1.0221216e+01 1.0191102e-01 2.5094971e+01 5.1385317e+00 1.7350758e+02 4.5788916e+01
103 5.2534366e+00 1.9421457e+02 1.0120464e+01 9.7614154e-02 2.4840809e+01 5.0249400e+00 1.7982549e+02 4.6197437e+01
104 5.1881509e+00 2.0333411e+02 9.9101467e+00 1.0014115e-01 2.5115824e+01 4.9523101e+00 1.8595914e+02 4.6606486e+01
105 5.1808262e+00 2.0639948e+02 9.6478624e+00 9.5438443e-02 2.5020802e+01 4.9809165e+00 1.8556017e+02 4.7060738e+01
106 5.0892367e+00 2.0528212e+02 9.4058266e+00 9.1951460e-02 2.5086721e+01 4.8812656e+00 1.8857941e+02 4.7469530e+01
107 5.0306101e+00 2.0999210e+02 9.2936602e+00 9.9204682e-02 2.4990641e+01 4.8371754e+00 1.9118715e+02 4.7878133e+01
108 4.9825740e+00 2.1581810e+02 8.9033728e+00 9.6843153e-02 2.5148949e+01 4.8072801e+00 1.9910452e+02 4.8292970e+01
109 4.9415073e+00 2.2111398e+02 8.8700027e+00 9.5171995e-02 2.5090723e+01 4.8017058e+00 1.9948288e+02 4.8703854e+01
110 4.9146371e+00 2.2453419e+02 8.7227192e+00 9.3892172e-02 2.5056395e+01 4.7496367e+00 2.0692883e+02 4.9113885e+01
111 4.8857641e+00 2.3461559e+02 8.5348520e+00 8.8361531e-02 2.5189722e+01 4.7392111e+00 2.1267595e+02 4.9522953e+01
112 4.8745065e+00 2.3651501e+02 8.5960121e+00 9.4911106e-02 2.4998699e+01 4.9963565e+00 2.0335991e+02 4.9934860e+01
113 5.0766559e+00 2.2221259e+02 8.4293337e+00 9.3440302e-02 2.5255728e+01 4.9107046e+00 1.8595102e+02 5.0348121e+01
114 4.8864899e+00 1.9776822e+02 8.2551003e+00 9.6561253e-02 2.5193832e+01 4.6905465e+00 1.7826405e+02 5.0759941e+01
115 4.8176546e+00 2.0042807e+02 8.1654234e+00 8.7025806e-02 2.5241461e+01 4.7953963e+00 1.8109781e+02 5.1167567e+01
116 4.8624415e+00 2.0098615e+02 8.0652924e+00 9.0023376e-02 2.5204647e+01 4.6939621e+00 1.7651685e+02 5.1574734e+01
117 4.8360739e+00 1.9535625e+02 8.0239563e+00 8.6882032e-02 2.5302410e+01 4.7419214e+00 1.7767178e+02 5.1984348e+01
118 4.8222055e+00 2.0098314e+02 7.9174132e+00 8.9009643e-02 2.5120834e+01 4.6893826e+00 1.8087134e+02 5.2395358e+01
119 4.9029617e+00 1.9911742e+02 7.7362156e+00 9.5692597e-02 2.5341017e+01 4.6568818e+00 1.7057059e+02 5.2831418e+01
120 4.8093848e+00 1.9098494e+02 7.7632122e+00 9.6716523e-02 2.5092588e+01 4.6190467e+00 1.7584698e+02 5.3236691e+01
121 4.7315383e+00 1.8890875e+02 7.6138535e+00 9.3031347e-02 2.5232498e+01 4.6956840e+00 1.6561728e+02 5.3648734e+01
122 4.7189746e+00 1.8006325e+02 7.5169010e+00 9.7250536e-02 2.5302586e+01 4.6766768e+00 1.6275652e+02 5.4070440e+01
123 4.7567487e+00 1.7822159e+02 7.4720588e+00 9.2963122e-02 2.5045679e+01 4.5834088e+00 1.6196051e+02 5.4482280e+01
124 4.6841135e+00 1.7564619e+02 7.2824411e+00 9.2822105e-02 2.5328039e+01 4.7614489e+00 1.5662418e+02 5.4901759e+01
125 4.7134614e+00 1.7182697e+02 7.2900171e+00 9.7560689e-02 2.5126410e+01 4.6543002e+00 1.5959167e+02 5.5314708e+01
126 4.6480069e+00 1.7287225e+02 7.2655716e+00 8.7668456e-02 2.5189491e+01 4.5455990e+00 1.6104091e+02 5.5729816e+01
127 4.6028075e+00 1.7692067e+02 7.2019668e+00 9.0665251e-02 2.5322721e+01 4.5913944e+00 1.6340344e+02 5.6140435e+01
128 4.6544809e+00 1.7783646e+02 7.2319770e+00 9.9053450e-02 2.5025301e+01 4.5322294e+00 1.5747064e+02 5.6554282e+01
129 4.6164618e+00 1.7209909e+02 7.3324757e+00 9.4417363e-02 2.5279020e+01 4.7558784e+00 1.5055148e+02 5.6963558e+01
130 4.7100935e+00 1.6987679e+02 7.3757181e+00 9.2636138e-02 2.5156231e+01 4.5630941e+00 1.5031897e+02 5.7375448e+01
131 4.6976571e+00 1.6702394e+02 7.2739697e+00 9.3236223e-02 2.5462112e+01 4.5388970e+00 1.5027090e+02 5.7782365e+01
132 4.6427374e+00 1.6102171e+02 7.1874051e+00 9.2879616e-02 2.5140236e+01 4.7523928e+00 1.5039003e+02 5.8190694e+01
133 4.6121159e+00 1.6060353e+02 7.1421003e+00 9.1363393e-02 2.5333776e+01 4.5646477e+00 1.4721445e+02 5.8595863e+01
134 4.5563998e+00 1.6063887e+02 7.1637321e+00 9.1673627e-02 2.5265461e+01 4.4864883e+00 1.4957994e+02 5.9004719e+01
135 4.4835091e+00 1.6415178e+02 7.1184335e+00 8.7963961e-02 2.5142181e+01 4.4201064e+00 1.5132436e+02 5.9414416e+01
136 4.4615803e+00 1.6992212e+02 6.8980718e+00 9.0468526e-02 2.5263645e+01 4.4136672e+00 1.5565959e+02 5.9823441e+01
137 4.4372511e+00 1.7253436e+02 6.7402306e+00 9.0347461e-02 2.5216753e+01 4.4042187e+00 1.5415700e+02 6.0229495e+01
138 4.4397945e+00 1.7423952e+02 6.6578183e+00 9.0725355e-02 2.5305973e+01 4.4074483e+00 1.5576833e+02 6.0634387e+01
139 4.4892001e+00 1.7484697e+02 6.5432501e+00 9.3429238e-02 2.5247631e+01 4.4775977e+00 1.6102229e+02 6.1047332e+01
140 4.5892682e+00 1.7530681e+02 6.4535413e+00 1.0062071e-01 2.5435900e+01 4.3992682e+00 1.4902573e+02 6.1464348e+01
141 4.5457501e+00 1.5712025e+02 6.3914094e+00 9.6647277e-02 2.5260803e+01 4.4847121e+00 1.3856694e+02 6.1883933e+01
142 4.4608874e+00 1.5558229e+02 6.2788062e+00 9.1673478e-02 2.5414770e+01 4.3563247e+00 1.4320660e+02 6.2298011e+01
143 4.4319448e+00 1.5792613e+02 6.2177496e+00 9.3996778e-02 2.5182653e+01 4.4411912e+00 1.4221820e+02 6.2714906e+01
144 4.4285049e+00 1.5676878e+02 6.1760306e+00 9.2802636e-02 2.5315340e+01 4.3942528e+00 1.3932764e+02 6.3124160e+01
145 4.4089952e+00 1.5452040e+02 6.1259375e+00 8.8279195e-02 2.5255901e+01 4.3392577e+00 1.4305951e+02 6.3537985e+01
146 4.3734975e+00 1.5941521e+02 6.0534759e+00 9.0193667e-02 2.5190502e+01 4.3896446e+00 1.4623570e+02 6.3943986e+01
147 4.3808708e+00 1.6053748e+02 5.9865298e+00 8.8547364e-02 2.5341150e+01 4.3705220e+00 1.4399576e+02 6.4348652e+01
148 4.3948116e+00 1.6263019e+02 5.9155540e+00 9.6080102e-02 2.5241079e+01 4.3430562e+00 1.4733676e+02 6.4758257e+01
149 4.3870692e+00 1.6302141e+02 5.8077164e+00 9.0590939e-02 2.5342934e+01 4.4421659e+00 1.4768204e+02 6.5164502e+01
150 4.4102740e+00 1.6179597e+02 5.7454686e+00 9.2299141e-02 2.5207352e+01 4.3547459e+00 1.4731940e+02 6.5573538e+01
151 4.3622298e+00 1.6198795e+02 5.7481537e+00 8.7188028e-02 2.5353401e+01 4.3237286e+00 1.4977188e+02 6.5980554e+01
152 4.3989720e+00 1.6796829e+02 5.6793256e+00 8.8380948e-02 2.5299160e+01 4.2781086e+00 1.5390253e+02 6.6385772e+01
153 4.3488994e+00 1.6693863e+02 5.6472936e+00 9.6559189e-02 2.5182579e+01 4.2781844e+00 1.4696687e+02 6.6792735e+01
154 4.3157940e+00 1.6360382e+02 5.7084723e+00 8.8226870e-02 2.5326265e+01 4.3147507e+00 1.4719009e+02 6.7206735e+01
155 4.3340092e+00 1.6853485e+02 5.6575198e+00 9.4361037e-02 2.5231981e+01 4.3288164e+00 1.5485818e+02 6.7613665e+01
156 4.3322558e+00 1.6832664e+02 5.5691633e+00 8.9272872e-02 2.5278599e+01 4.2537074e+00 1.4569960e+02 6.8031719e+01
157 4.2994723e+00 1.6239366e+02 5.5459375e+00 9.3840145e-02 2.5327112e+01 4.2711096e+00 1.4804317e+02 6.8446652e+01
158 4.2865405e+00 1.6732481e+02 5.5134773e+00 8.9509279e-02 2.5266264e+01 4.2075820e+00 1.5279091e+02 6.8865609e+01
159 4.2984428e+00 1.7080562e+02 5.5004625e+00 9.2028275e-02 2.5210752e+01 4.2354350e+00 1.5475209e+02 6.9277035e+01
160 4.3123689e+00 1.6862300e+02 5.4353099e+00 9.3301944e-02 2.5354652e+01 4.3151946e+00 1.4449631e+02 6.9686786e+01
161 4.2990899e+00 1.6394728e+02 5.4778595e+00 9.2459798e-02 2.5169550e+01 4.2441640e+00 1.4869165e+02 7.0100105e+01
162 4.2883544e+00 1.6721373e+02 5.4465270e+00 8.7871097e-02 2.5426348e+01 4.2568321e+00 1.5002579e+02 7.0509199e+01
163 4.3133659e+00 1.6973607e+02 5.3884444e+00 8.9586399e-02 2.5326763e+01 4.3513937e+00 1.5084924e+02 7.0918285e+01
164 4.3459435e+00 1.7045862e+02 5.3258214e+00 9.1840573e-02 2.5234964e+01 4.2898469e+00 1.4964908e+02 7.1326779e+01
165 4.3079853e+00 1.6854546e+02 5.3078508e+00 8.9345396e-02 2.5220636e+01 4.2432923e+00 1.5195848e+02 7.1734337e+01
166 4.2613387e+00 1.7138618e+02 5.3235259e+00 8.8353671e-02 2.5332891e+01 4.2442417e+00 1.5075060e+02 7.2144141e+01
167 4.2401700e+00 1.6952425e+02 5.3198643e+00 8.7889060e-02 2.5215134e+01 4.1801200e+00 1.5183734e+02 7.2555794e+01
168 4.2539954e+00 1.6796761e+02 5.2929239e+00 9.7174667e-02 2.5296680e+01 4.2392917e+00 1.5076297e+02 7.2962496e+01
169 4.2461247e+00 1.7208064e+02 5.3083935e+00 8.7703332e-02 2.5370773e+01 4.1581926e+00 1.5140666e+02 7.3376066e+01
170 4.2372122e+00 1.6641171e+02 5.2826557e+00 8.6393543e-02 2.5262907e+01 4.1896563e+00 1.4712152e+02 7.3784034e+01
171 4.2815037e+00 1.6512709e+02 5.2412472e+00 9.0123676e-02 2.5270500e+01 4.1991439e+00 1.5826776e+02 7.4193057e+01
172 4.5657954e+00 1.8004279e+02 5.2409554e+00 8.4543757e-02 2.5574074e+01 4.2691441e+00 1.6193983e+02 7.4599191e+01
173 4.3584785e+00 1.6938600e+02 5.5976691e+00 9.2106901e-02 2.5452517e+01 4.1621709e+00 1.3057892e+02 7.5009291e+01
174 4.3413510e+00 1.4168416e+02 6.7622728e+00 9.7182758e-02 2.5436083e+01 4.3178859e+00 1.1721967e+02 7.5424008e+01
175 4.3031769e+00 1.3721889e+02 6.9877653e+00 8.4147155e-02 2.5776941e+01 4.2756319e+00 1.2475468e+02 7.5841781e+01
176 4.2522502e+00 1.4122516e+02 6.9864888e+00 9.6642219e-02 2.5577322e+01 4.1002192e+00 1.1884713e+02 7.6249651e+01
177 4.2656894e+00 1.3495001e+02 7.0564232e+00 9.1381639e-02 2.5380316e+01 4.0778565e+00 1.2013776e+02 7.6666385e+01
178 4.2144227e+00 1.4189665e+02 6.8201761e+00 1.0068475e-01 2.5589363e+01 4.2326622e+00 1.2925027e+02 7.7076844e+01
179 4.2533917e+00 1.3888037e+02 6.5167441e+00 9.4903402e-02 2.5368864e+01 4.0377173e+00 1.1539043e+02 7.7484741e+01
180 4.1507692e+00 1.2954376e+02 6.1207032e+00 9.6389830e-02 2.5670086e+01 4.0279722e+00 1.1551076e+02 7.7894192e+01
181 4.1387577e+00 1.3117822e+02 6.0161514e+00 9.7260021e-02 2.5628733e+01 4.0336447e+00 1.1662865e+02 7.8306759e+01
182 4.1093779e+00 1.3411916e+02 5.8245273e+00 9.2304602e-02 2.5602453e+01 4.0300789e+00 1.1739414e+02 7.8715853e+01
183 4.1212897e+00 1.3464151e+02 5.6638761e+00 9.8363854e-02 2.5548180e+01 3.9734695e+00 1.1765221e+02 7.9125566e+01
184 4.0864305e+00 1.3410040e+02 5.4723105e+00 9.9755615e-02 2.5668680e+01 4.0374904e+00 1.1615965e+02 7.9539278e+01
185 4.1522884e+00 1.3730388e+02 5.4331288e+00 9.4633527e-02 2.5420359e+01 4.0894837e+00 1.2157898e+02 7.9948473e+01
186 4.2094345e+00 1.3457065e+02 5.2422471e+00 1.0277019e-01 2.5714903e+01 4.0864787e+00 1.0926307e+02 8.0365286e+01
